540,94
469,0
444,353
436,546
369,582
733,264
556,567
17,280
643,82
218,232
85,153
647,553
574,503
404,367
516,189
59,295
208,418
775,94
657,319
734,249
4,23
446,467
135,237
237,556
244,267
431,300
355,133
526,223
674,441
706,286
375,399
272,71
400,60
228,9
573,399
180,179
547,107
463,60
568,161
319,229
228,563
791,456
506,219
238,105
207,449
241,501
691,355
153,326
704,409
607,35
569,548
581,560
719,12
273,458
542,563
750,227
471,395
30,14
229,599
110,334
52,80
47,74
615,422
240,63
477,102
230,95
770,30
25,86
313,14
594,284
445,317
772,377
643,257
400,228
352,559
526,214
253,250
81,239
522,543
506,12
111,424
211,417
313,325
608,150
728,198
78,276
758,298
355,156
48,294
420,16
417,554
695,45
657,419
258,537
552,534
98,365
222,357
75,42
384,11
202,507
292,258
145,67
215,450
291,570
418,54
298,185
714,553
271,515
555,186
568,421
211,242
650,475
551,243
54,86
144,180
119,538
169,275
352,526
591,64
742,206
520,558
270,207
321,373
261,78
778,27
29,486
789,60
480,422
750,463
701,315
311,528
173,383
9,546
545,578
280,588
485,523
193,456
202,220
565,552
24,404
587,405
495,293
331,225
80,588
644,583
362,507
83,296
90,303
329,43
299,494
447,460
244,413
214,274
202,338
526,247
714,396
74,204
163,248
356,532
715,420
150,296
171,149
106,383
58,112
24,286
772,141
137,122
117,256
779,35
316,325
194,117
653,116
416,6
665,351
12,185
272,545
1,44
720,406
278,479
357,193
579,34
594,500
187,435
757,242
583,226
793,512
585,475
284,78
371,16
73,27
695,147
426,459
662,372
618,341
520,553
280,352
705,351
66,212
102,60
73,129
724,35
482,97
231,69
62,347
103,8
114,326
538,228
125,597
341,217
546,132
533,505
745,213
442,372
383,11
519,245
666,54
339,126
783,425
350,211
254,70
24,554
486,23
657,1
121,58
494,54
483,323
549,18
752,409
134,421
470,100
614,573
706,323
683,388
356,32
606,55
243,409
315,467
421,567
75,334
611,517
107,7
513,541
117,301
478,342
313,490
215,274
648,184
562,200
91,596
208,325
620,189
306,41
692,271
734,249
133,133
11,116
350,421
641,388
175,149
255,153
643,510
571,229
16,339
568,534
384,504
43,304
134,534
61,249
720,366
188,475
416,230
302,495
45,522
533,293
227,11
402,343
430,277
136,42
22,320
364,516
754,193
55,196
778,567
372,106
308,35
42,497
625,531
175,160
542,41
406,581
655,339
724,326
310,402
101,497
201,248
178,533
545,433
744,299
653,376
673,155
645,355
558,56
650,524
394,533
38,288
692,347
74,470
520,240
709,422
265,263
403,204
678,286
127,585
79,290
761,284
353,4
319,132
189,363
587,138
539,445
724,599
297,581
343,429
61,528
531,34
10,382
210,381
737,522
784,495
589,47
342,170
601,354
28,10
48,543
730,421
410,517
295,235
664,62
685,411
519,586
716,3
301,446
227,476
717,408
501,556
776,88
490,5
151,85
396,106
302,228
114,512
787,382
726,234
488,263
763,73
45,46
701,388
644,390
233,506
677,475
433,355
663,230
693,282
310,569
795,28
572,176
76,458
127,441
460,12
197,365
342,221
655,503
58,326
420,18
270,471
58,563
184,115
384,107
377,221
64,552
621,392
42,9
406,162
336,595
530,389
787,320
180,30
111,556
222,354
365,590
770,577
782,515
338,278
121,347
712,56
150,228
283,440
689,166
248,358
514,66
361,24
214,268
527,204
264,533
755,212
300,199
224,240
96,468
753,178
441,189
259,107
81,225
490,501
298,228
561,395
692,103
599,10
451,234
411,480
297,514
472,561
305,455
673,442
323,378
565,532
413,340
422,223
472,189
200,373
208,441
681,477
798,478
754,356
429,43
449,317
684,111
621,359
291,564
362,124
22,236
387,507
349,92
623,511
403,451
369,559
336,130
398,495
363,77
215,133
31,194
665,512
456,231
791,384
196,379
290,510
447,551
172,564
489,144
355,57
474,338
456,402
17,123
187,39
191,591
760,580
437,535
647,441
730,284
43,98
74,330
344,77
689,263
137,8
122,128
94,31
296,94
541,28
702,546
543,27
